experiment,target_project,selected_order,count,denominator,proportion
cross_project,KC2,LR_std_C0.1|ET_leaf5|LR_std_C1,0,5,0.0
cross_project,KC2,LR_std_C0.1|LR_std_C1|DT_leaf5,0,5,0.0
cross_project,KC2,LR_std_C0.1|LR_std_C1|ET_leaf5,0,5,0.0
cross_project,KC2,LR_std_C1|DT_leaf5|ET_leaf5,0,5,0.0
cross_project,KC2,LR_std_C1|DT_leaf5|LR_std_C0.1,0,5,0.0
cross_project,KC2,LR_std_C1|ET_leaf5|DT_leaf5,0,5,0.0
cross_project,KC2,LR_std_C1|ET_leaf5|LR_std_C0.1,0,5,0.0
cross_project,KC2,LR_std_C1|LR_std_C0.1|DT_leaf5,0,5,0.0
cross_project,KC2,LR_std_C1|LR_std_C0.1|ET_leaf5,0,5,0.0
cross_project,PC1,DT_leaf5|ET_leaf5|LR_std_C0.1,0,5,0.0
cross_project,PC1,DT_leaf5|ET_leaf5|LR_std_C1,0,5,0.0
cross_project,PC1,DT_leaf5|LR_std_C0.1|ET_leaf5,0,5,0.0
cross_project,PC1,DT_leaf5|LR_std_C0.1|LR_std_C1,0,5,0.0
cross_project,PC1,DT_leaf5|LR_std_C1|ET_leaf5,0,5,0.0
cross_project,PC1,DT_leaf5|LR_std_C1|LR_std_C0.1,0,5,0.0
cross_project,PC1,ET_leaf5|DT_leaf5|LR_std_C0.1,0,5,0.0
cross_project,PC1,ET_leaf5|DT_leaf5|LR_std_C1,0,5,0.0
cross_project,PC1,ET_leaf5|LR_std_C0.1|DT_leaf5,0,5,0.0
cross_project,PC1,ET_leaf5|LR_std_C0.1|LR_std_C1,3,5,0.6
cross_project,PC1,ET_leaf5|LR_std_C1|DT_leaf5,0,5,0.0
cross_project,PC1,ET_leaf5|LR_std_C1|LR_std_C0.1,2,5,0.4
cross_project,PC1,LR_std_C0.1|DT_leaf5|ET_leaf5,0,5,0.0
cross_project,PC1,LR_std_C0.1|DT_leaf5|LR_std_C1,0,5,0.0
cross_project,PC1,LR_std_C0.1|ET_leaf5|DT_leaf5,0,5,0.0
cross_project,PC1,LR_std_C0.1|ET_leaf5|LR_std_C1,0,5,0.0
cross_project,PC1,LR_std_C0.1|LR_std_C1|DT_leaf5,0,5,0.0
cross_project,PC1,LR_std_C0.1|LR_std_C1|ET_leaf5,0,5,0.0
cross_project,PC1,LR_std_C1|DT_leaf5|ET_leaf5,0,5,0.0
cross_project,PC1,LR_std_C1|DT_leaf5|LR_std_C0.1,0,5,0.0
cross_project,PC1,LR_std_C1|ET_leaf5|DT_leaf5,0,5,0.0
cross_project,PC1,LR_std_C1|ET_leaf5|LR_std_C0.1,0,5,0.0
cross_project,PC1,LR_std_C1|LR_std_C0.1|DT_leaf5,0,5,0.0
cross_project,PC1,LR_std_C1|LR_std_C0.1|ET_leaf5,0,5,0.0
within_project,CM1,DT_leaf5|ET_leaf5|LR_std_C0.1,0,5,0.0
within_project,CM1,DT_leaf5|ET_leaf5|LR_std_C1,0,5,0.0
within_project,CM1,DT_leaf5|LR_std_C0.1|ET_leaf5,0,5,0.0
within_project,CM1,DT_leaf5|LR_std_C0.1|LR_std_C1,0,5,0.0
within_project,CM1,DT_leaf5|LR_std_C1|ET_leaf5,0,5,0.0
within_project,CM1,DT_leaf5|LR_std_C1|LR_std_C0.1,1,5,0.2
within_project,CM1,ET_leaf5|DT_leaf5|LR_std_C0.1,0,5,0.0
within_project,CM1,ET_leaf5|DT_leaf5|LR_std_C1,0,5,0.0
within_project,CM1,ET_leaf5|LR_std_C0.1|DT_leaf5,0,5,0.0
within_project,CM1,ET_leaf5|LR_std_C0.1|LR_std_C1,2,5,0.4
within_project,CM1,ET_leaf5|LR_std_C1|DT_leaf5,0,5,0.0
within_project,CM1,ET_leaf5|LR_std_C1|LR_std_C0.1,0,5,0.0
within_project,CM1,LR_std_C0.1|DT_leaf5|ET_leaf5,0,5,0.0
within_project,CM1,LR_std_C0.1|DT_leaf5|LR_std_C1,0,5,0.0
within_project,CM1,LR_std_C0.1|ET_leaf5|DT_leaf5,0,5,0.0
within_project,CM1,LR_std_C0.1|ET_leaf5|LR_std_C1,0,5,0.0
within_project,CM1,LR_std_C0.1|LR_std_C1|DT_leaf5,0,5,0.0
within_project,CM1,LR_std_C0.1|LR_std_C1|ET_leaf5,1,5,0.2
within_project,CM1,LR_std_C1|DT_leaf5|ET_leaf5,0,5,0.0
within_project,CM1,LR_std_C1|DT_leaf5|LR_std_C0.1,0,5,0.0
within_project,CM1,LR_std_C1|ET_leaf5|DT_leaf5,0,5,0.0
within_project,CM1,LR_std_C1|ET_leaf5|LR_std_C0.1,0,5,0.0
within_project,CM1,LR_std_C1|LR_std_C0.1|DT_leaf5,0,5,0.0
within_project,CM1,LR_std_C1|LR_std_C0.1|ET_leaf5,1,5,0.2
within_project,JM1,DT_leaf5|ET_leaf5|LR_std_C0.1,0,5,0.0
within_project,JM1,DT_leaf5|ET_leaf5|LR_std_C1,0,5,0.0
within_project,JM1,DT_leaf5|LR_std_C0.1|ET_leaf5,0,5,0.0
within_project,JM1,DT_leaf5|LR_std_C0.1|LR_std_C1,0,5,0.0
within_project,JM1,DT_leaf5|LR_std_C1|ET_leaf5,0,5,0.0
within_project,JM1,DT_leaf5|LR_std_C1|LR_std_C0.1,0,5,0.0
within_project,JM1,ET_leaf5|DT_leaf5|LR_std_C0.1,0,5,0.0
within_project,JM1,ET_leaf5|DT_leaf5|LR_std_C1,0,5,0.0
within_project,JM1,ET_leaf5|LR_std_C0.1|DT_leaf5,0,5,0.0
within_project,JM1,ET_leaf5|LR_std_C0.1|LR_std_C1,2,5,0.4
within_project,JM1,ET_leaf5|LR_std_C1|DT_leaf5,0,5,0.0
within_project,JM1,ET_leaf5|LR_std_C1|LR_std_C0.1,3,5,0.6
within_project,JM1,LR_std_C0.1|DT_leaf5|ET_leaf5,0,5,0.0
within_project,JM1,LR_std_C0.1|DT_leaf5|LR_std_C1,0,5,0.0
within_project,JM1,LR_std_C0.1|ET_leaf5|DT_leaf5,0,5,0.0
within_project,JM1,LR_std_C0.1|ET_leaf5|LR_std_C1,0,5,0.0
within_project,JM1,LR_std_C0.1|LR_std_C1|DT_leaf5,0,5,0.0
within_project,JM1,LR_std_C0.1|LR_std_C1|ET_leaf5,0,5,0.0
within_project,JM1,LR_std_C1|DT_leaf5|ET_leaf5,0,5,0.0
within_project,JM1,LR_std_C1|DT_leaf5|LR_std_C0.1,0,5,0.0
within_project,JM1,LR_std_C1|ET_leaf5|DT_leaf5,0,5,0.0
within_project,JM1,LR_std_C1|ET_leaf5|LR_std_C0.1,0,5,0.0
within_project,JM1,LR_std_C1|LR_std_C0.1|DT_leaf5,0,5,0.0
within_project,JM1,LR_std_C1|LR_std_C0.1|ET_leaf5,0,5,0.0
within_project,KC1,DT_leaf5|ET_leaf5|LR_std_C0.1,0,5,0.0
within_project,KC1,DT_leaf5|ET_leaf5|LR_std_C1,1,5,0.2
within_project,KC1,DT_leaf5|LR_std_C0.1|ET_leaf5,0,5,0.0
within_project,KC1,DT_leaf5|LR_std_C0.1|LR_std_C1,0,5,0.0
within_project,KC1,DT_leaf5|LR_std_C1|ET_leaf5,0,5,0.0
within_project,KC1,DT_leaf5|LR_std_C1|LR_std_C0.1,0,5,0.0
within_project,KC1,ET_leaf5|DT_leaf5|LR_std_C0.1,0,5,0.0
within_project,KC1,ET_leaf5|DT_leaf5|LR_std_C1,0,5,0.0
within_project,KC1,ET_leaf5|LR_std_C0.1|DT_leaf5,1,5,0.2
within_project,KC1,ET_leaf5|LR_std_C0.1|LR_std_C1,0,5,0.0
within_project,KC1,ET_leaf5|LR_std_C1|DT_leaf5,1,5,0.2
within_project,KC1,ET_leaf5|LR_std_C1|LR_std_C0.1,1,5,0.2
within_project,KC1,LR_std_C0.1|DT_leaf5|ET_leaf5,0,5,0.0
within_project,KC1,LR_std_C0.1|DT_leaf5|LR_std_C1,0,5,0.0
within_project,KC1,LR_std_C0.1|ET_leaf5|DT_leaf5,0,5,0.0
within_project,KC1,LR_std_C0.1|ET_leaf5|LR_std_C1,0,5,0.0
within_project,KC1,LR_std_C0.1|LR_std_C1|DT_leaf5,0,5,0.0
within_project,KC1,LR_std_C0.1|LR_std_C1|ET_leaf5,0,5,0.0
within_project,KC1,LR_std_C1|DT_leaf5|ET_leaf5,0,5,0.0
within_project,KC1,LR_std_C1|DT_leaf5|LR_std_C0.1,0,5,0.0
within_project,KC1,LR_std_C1|ET_leaf5|DT_leaf5,0,5,0.0
within_project,KC1,LR_std_C1|ET_leaf5|LR_std_C0.1,1,5,0.2
within_project,KC1,LR_std_C1|LR_std_C0.1|DT_leaf5,0,5,0.0
within_project,KC1,LR_std_C1|LR_std_C0.1|ET_leaf5,0,5,0.0
within_project,KC2,DT_leaf5|ET_leaf5|LR_std_C0.1,1,5,0.2
within_project,KC2,DT_leaf5|ET_leaf5|LR_std_C1,0,5,0.0
within_project,KC2,DT_leaf5|LR_std_C0.1|ET_leaf5,0,5,0.0
within_project,KC2,DT_leaf5|LR_std_C0.1|LR_std_C1,0,5,0.0
within_project,KC2,DT_leaf5|LR_std_C1|ET_leaf5,0,5,0.0
within_project,KC2,DT_leaf5|LR_std_C1|LR_std_C0.1,0,5,0.0
within_project,KC2,ET_leaf5|DT_leaf5|LR_std_C0.1,0,5,0.0
within_project,KC2,ET_leaf5|DT_leaf5|LR_std_C1,0,5,0.0
within_project,KC2,ET_leaf5|LR_std_C0.1|DT_leaf5,0,5,0.0
within_project,KC2,ET_leaf5|LR_std_C0.1|LR_std_C1,1,5,0.2
within_project,KC2,ET_leaf5|LR_std_C1|DT_leaf5,0,5,0.0
within_project,KC2,ET_leaf5|LR_std_C1|LR_std_C0.1,2,5,0.4
within_project,KC2,LR_std_C0.1|DT_leaf5|ET_leaf5,0,5,0.0
within_project,KC2,LR_std_C0.1|DT_leaf5|LR_std_C1,0,5,0.0
within_project,KC2,LR_std_C0.1|ET_leaf5|DT_leaf5,0,5,0.0
within_project,KC2,LR_std_C0.1|ET_leaf5|LR_std_C1,0,5,0.0
within_project,KC2,LR_std_C0.1|LR_std_C1|DT_leaf5,0,5,0.0
within_project,KC2,LR_std_C0.1|LR_std_C1|ET_leaf5,0,5,0.0
within_project,KC2,LR_std_C1|DT_leaf5|ET_leaf5,0,5,0.0
within_project,KC2,LR_std_C1|DT_leaf5|LR_std_C0.1,0,5,0.0
within_project,KC2,LR_std_C1|ET_leaf5|DT_leaf5,0,5,0.0
within_project,KC2,LR_std_C1|ET_leaf5|LR_std_C0.1,1,5,0.2
within_project,KC2,LR_std_C1|LR_std_C0.1|DT_leaf5,0,5,0.0
within_project,KC2,LR_std_C1|LR_std_C0.1|ET_leaf5,0,5,0.0
within_project,PC1,DT_leaf5|ET_leaf5|LR_std_C0.1,0,5,0.0
within_project,PC1,DT_leaf5|ET_leaf5|LR_std_C1,2,5,0.4
within_project,PC1,DT_leaf5|LR_std_C0.1|ET_leaf5,0,5,0.0
within_project,PC1,DT_leaf5|LR_std_C0.1|LR_std_C1,0,5,0.0
within_project,PC1,DT_leaf5|LR_std_C1|ET_leaf5,0,5,0.0
within_project,PC1,DT_leaf5|LR_std_C1|LR_std_C0.1,0,5,0.0
within_project,PC1,ET_leaf5|DT_leaf5|LR_std_C0.1,0,5,0.0
within_project,PC1,ET_leaf5|DT_leaf5|LR_std_C1,0,5,0.0
within_project,PC1,ET_leaf5|LR_std_C0.1|DT_leaf5,2,5,0.4
within_project,PC1,ET_leaf5|LR_std_C0.1|LR_std_C1,0,5,0.0
within_project,PC1,ET_leaf5|LR_std_C1|DT_leaf5,1,5,0.2
within_project,PC1,ET_leaf5|LR_std_C1|LR_std_C0.1,0,5,0.0
within_project,PC1,LR_std_C0.1|DT_leaf5|ET_leaf5,0,5,0.0
within_project,PC1,LR_std_C0.1|DT_leaf5|LR_std_C1,0,5,0.0
within_project,PC1,LR_std_C0.1|ET_leaf5|DT_leaf5,0,5,0.0
within_project,PC1,LR_std_C0.1|ET_leaf5|LR_std_C1,0,5,0.0
within_project,PC1,LR_std_C0.1|LR_std_C1|DT_leaf5,0,5,0.0
within_project,PC1,LR_std_C0.1|LR_std_C1|ET_leaf5,0,5,0.0
within_project,PC1,LR_std_C1|DT_leaf5|ET_leaf5,0,5,0.0
within_project,PC1,LR_std_C1|DT_leaf5|LR_std_C0.1,0,5,0.0
within_project,PC1,LR_std_C1|ET_leaf5|DT_leaf5,0,5,0.0
within_project,PC1,LR_std_C1|ET_leaf5|LR_std_C0.1,0,5,0.0
within_project,PC1,LR_std_C1|LR_std_C0.1|DT_leaf5,0,5,0.0
within_project,PC1,LR_std_C1|LR_std_C0.1|ET_leaf5,0,5,0.0
